I0,I1,I2,I3,time(sec)
29,30,30,65,54.8
28,30,29,63,55
29,30,30,64,55.2
29,30,30,66,55.4
30,30,30,67,55.6
30,31,30,68,55.8
30,31,31,68,56
30,31,30,69,56.2
29,30,30,65,56.4
27,28,27,61,56.6
24,25,24,54,56.8
24,25,26,53,57
25,27,28,56,57.2
25,26,26,57,57.4
26,27,26,60,57.6
27,29,28,63,57.8
27,29,28,64,58
28,29,28,64,58.2
28,29,28,64,58.4
29,29,28,64,58.6
28,30,29,65,58.8
29,29,29,66,59
29,30,30,67,59.2
29,30,30,67,59.4
31,32,32,68,59.6
32,32,35,68,59.8
32,33,35,69,60
32,33,35,70,60.2
31,32,32,69,60.4
30,31,31,69,60.6
30,31,30,68,60.8
30,31,30,69,61
30,31,30,69,61.2
30,31,31,69,61.4
31,31,31,69,61.6
32,34,35,71,61.8
33,33,37,71,62
32,34,36,71,62.2
34,34,37,71,62.4
33,34,37,71,62.6
33,34,37,72,62.8
33,34,37,72,63
33,34,36,72,63.2
32,34,34,72,63.4
31,32,31,71,63.6
31,32,31,71,63.8
31,32,31,71,64
31,32,32,72,64.2
33,33,35,72,64.4
34,35,38,73,64.6
33,34,39,71,64.8
31,33,36,67,65
32,33,36,68,65.2
32,32,35,68,65.4
32,33,34,70,65.6
31,32,33,69,65.8
31,31,30,69,66
30,31,30,68,66.2
31,31,31,69,66.4
30,31,31,71,66.6
32,33,34,72,66.8
34,35,39,73,67
34,34,38,72,67.2
32,33,35,70,67.4
33,34,38,71,67.6
34,34,38,72,67.8
33,34,36,72,68
32,32,32,71,68.2
31,32,30,71,68.4
31,31,31,70,68.6
31,32,31,71,68.8
31,32,31,71,69
31,31,31,71,69.2
32,33,34,71,69.4
34,34,38,74,69.6
32,33,36,70,69.8
31,32,36,67,70
32,33,36,68,70.2
32,33,36,69,70.4
32,33,34,69,70.6
31,31,32,68,70.8
30,30,30,68,71
30,30,31,69,71.2
30,31,30,69,71.4
30,31,31,70,71.6
31,31,32,70,71.8
32,33,35,71,72
31,32,35,68,72.2
30,32,34,64,72.4
30,31,35,65,72.6
32,33,36,68,72.8
31,32,35,68,73
32,33,35,69,73.2
31,33,34,70,73.4
32,33,35,70,73.6
31,32,34,69,73.8
30,31,30,69,74
30,30,30,69,74.2
29,31,30,69,74.4
33,34,36,72,74.6
34,35,38,73,74.8
33,34,38,72,75
32,34,37,71,75.2
32,33,36,70,75.4
32,34,36,72,75.6
32,33,35,72,75.8
33,33,35,72,76
32,32,32,72,76.2
30,31,30,71,76.4
31,31,30,70,76.6
30,31,30,71,76.8
31,31,31,71,77
30,32,30,72,77.2
31,32,30,72,77.4
29,31,29,68,77.6
30,31,33,66,77.8
29,30,33,64,78
30,31,34,66,78.2
29,30,31,67,78.4
30,30,32,66,78.6
29,29,28,67,78.8
29,30,29,67,79
29,30,28,68,79.2
29,30,29,68,79.4
30,31,30,69,79.6
30,31,30,69,79.8
30,31,30,70,80
29,30,29,68,80.2
31,33,35,69,80.4
31,32,35,68,80.6
32,33,36,69,80.8
32,33,36,70,81
32,33,33,70,81.2
31,32,33,70,81.4
29,31,29,69,81.6
30,30,30,69,81.8
30,31,29,69,82
30,31,30,70,82.2
31,31,31,70,82.4
30,31,30,70,82.6
30,31,30,69,82.8
29,30,29,68,83
29,30,28,67,83.2
30,30,29,68,83.4
30,30,29,69,83.6
30,31,30,70,83.8
30,31,31,70,84
30,31,30,70,84.2
30,32,30,71,84.4
30,32,30,70,84.6
31,31,31,70,84.8
31,31,30,71,85
30,32,30,72,85.2
30,31,30,71,85.4
30,31,30,70,85.6
30,30,29,68,85.8
28,29,28,65,86
28,30,28,66,86.2
29,30,29,68,86.4
30,31,29,69,86.6
30,30,30,69,86.8
30,31,30,70,87
30,31,30,70,87.2
30,31,30,71,87.4
30,32,30,72,87.6
