I0,I1,I2,I3,time(sec)
8,10,8,30,54.8
6,10,6,26,55
6,8,6,22,55.2
5,8,5,21,55.4
5,8,5,20,55.6
6,9,6,24,55.8
7,8,7,26,56
7,8,7,27,56.2
7,9,7,28,56.4
8,9,8,30,56.6
9,10,9,34,56.8
8,10,8,30,57
8,10,8,30,57.2
7,10,7,29,57.4
7,8,7,28,57.6
7,9,7,30,57.8
8,9,8,30,58
8,10,8,31,58.2
8,10,7,31,58.4
8,10,7,31,58.6
8,10,8,32,58.8
9,10,8,33,59
8,11,8,33,59.2
9,10,8,33,59.4
9,12,9,33,59.6
9,12,9,35,59.8
9,12,9,35,60
9,12,9,36,60.2
10,12,9,37,60.4
9,12,9,35,60.6
8,11,8,32,60.8
9,12,10,34,61
9,12,10,34,61.2
9,12,11,34,61.4
10,11,11,34,61.6
9,11,10,35,61.8
9,11,10,35,62
8,11,10,34,62.2
8,10,9,34,62.4
9,11,10,34,62.6
9,10,10,35,62.8
9,10,10,35,63
9,11,10,33,63.2
9,11,10,33,63.4
10,13,10,37,63.6
10,13,11,38,63.8
11,12,11,38,64
11,12,12,39,64.2
10,12,12,40,64.4
10,13,12,40,64.6
12,13,12,41,64.8
10,13,12,40,65
10,13,12,38,65.2
10,13,11,37,65.4
10,13,11,38,65.6
11,13,12,39,65.8
10,13,12,40,66
11,13,12,40,66.2
11,13,12,41,66.4
11,13,12,40,66.6
11,13,12,42,66.8
11,14,12,42,67
10,13,11,37,67.2
11,13,12,39,67.4
11,14,13,41,67.6
11,14,12,42,67.8
12,14,13,42,68
11,14,13,42,68.2
11,14,12,42,68.4
11,13,12,41,68.6
11,12,13,40,68.8
10,13,12,41,69
11,13,12,40,69.2
11,13,12,40,69.4
10,12,11,38,69.6
11,13,12,41,69.8
10,12,11,40,70
9,10,10,35,70.2
9,10,10,34,70.4
9,10,10,34,70.6
9,10,10,35,70.8
9,11,11,37,71
10,12,11,38,71.2
10,12,11,38,71.4
11,12,12,38,71.6
11,13,12,40,71.8
11,13,12,41,72
11,13,12,42,72.2
11,13,12,42,72.4
11,13,12,39,72.6
10,12,11,37,72.8
10,13,12,41,73
11,13,11,40,73.2
9,12,11,36,73.4
11,14,12,41,73.6
11,14,13,42,73.8
11,13,12,42,74
11,13,12,41,74.2
11,12,12,40,74.4
11,13,13,42,74.6
11,13,13,42,74.8
12,14,13,44,75
12,14,12,45,75.2
12,14,13,45,75.4
12,14,13,45,75.6
12,14,13,46,75.8
12,14,13,44,76
11,13,13,43,76.2
11,13,12,42,76.4
12,13,13,43,76.6
12,14,13,44,76.8
12,15,13,45,77
12,15,13,46,77.2
12,15,14,47,77.4
13,15,14,47,77.6
13,15,14,46,77.8
12,15,13,46,78
12,14,13,44,78.2
12,13,13,44,78.4
12,13,13,44,78.6
12,14,13,45,78.8
13,14,14,45,79
12,14,14,46,79.2
13,14,14,45,79.4
12,15,13,45,79.6
12,15,13,45,79.8
12,15,14,45,80
13,14,14,45,80.2
12,14,14,46,80.4
12,14,13,45,80.6
12,14,13,45,80.8
12,15,13,45,81
12,14,13,44,81.2
13,14,14,45,81.4
12,14,13,43,81.6
12,13,13,43,81.8
12,14,13,44,82
12,14,14,45,82.2
13,14,14,45,82.4
12,15,14,46,82.6
13,14,14,46,82.8
12,15,14,47,83
12,14,14,46,83.2
12,14,14,44,83.4
12,14,13,44,83.6
12,14,13,44,83.8
12,14,13,43,84
12,15,14,44,84.2
12,15,13,46,84.4
11,13,12,43,84.6
12,14,12,44,84.8
11,13,12,42,85
11,13,12,43,85.2
12,14,13,45,85.4
12,14,14,45,85.6
13,14,13,45,85.8
12,14,13,45,86
12,14,13,44,86.2
12,15,14,46,86.4
13,14,14,46,86.6
12,15,13,47,86.8
12,15,14,47,87
12,15,14,46,87.2
11,13,12,40,87.4
11,12,11,38,87.6
10,13,10,37,87.8
9,11,10,35,88
10,13,11,37,88.2
10,12,11,38,88.4
10,13,11,39,88.6
11,13,12,41,88.8
11,13,12,41,89
11,13,13,41,89.2
11,13,12,41,89.4
11,13,12,41,89.6
11,13,12,43,89.8
11,14,13,43,90
12,14,13,44,90.2
12,15,13,46,90.4
13,14,14,45,90.6
12,15,13,45,90.8
13,15,14,47,91
13,15,14,47,91.2
13,16,14,48,91.4
13,16,14,48,91.6
13,15,14,47,91.8
13,15,14,48,92
13,15,14,47,92.2
12,16,14,48,92.4
12,14,13,44,92.6
12,15,14,45,92.8
12,14,13,45,93
13,14,13,45,93.2
12,14,13,44,93.4
12,14,13,44,93.6
12,15,13,45,93.8
13,15,14,46,94
13,16,14,47,94.2
13,16,14,48,94.4
13,15,14,48,94.6
13,15,14,47,94.8
12,15,13,44,95
13,15,14,47,95.2
12,15,14,47,95.4
12,15,14,48,95.6
13,14,14,46,95.8
12,15,13,46,96
13,15,13,47,96.2
13,15,14,46,96.4
13,16,14,48,96.6
13,15,14,48,96.8
13,15,14,46,97
13,15,15,47,97.2
13,16,15,47,97.4
14,16,14,49,97.6
14,16,15,50,97.8
13,15,14,50,98
13,15,15,48,98.2
13,14,14,48,98.4
13,14,14,48,98.6
12,14,13,48,98.8
11,13,13,44,99
11,12,12,41,99.2
11,12,12,42,99.4
11,12,11,39,99.6
10,13,12,41,99.8
10,11,11,41,100
11,11,11,41,100.2
10,11,11,41,100.4
11,12,11,43,100.6
10,12,11,42,100.8
11,12,12,42,101
11,12,12,43,101.2
11,12,11,41,101.4
10,12,11,39,101.6
10,13,11,40,101.8
11,13,12,42,102
10,13,12,39,102.2
10,12,10,39,102.4
9,11,9,36,102.6
10,12,10,38,102.8
9,11,9,37,103
10,11,9,39,103.2
10,12,12,40,103.4
10,12,12,40,103.6
11,12,12,40,103.8
11,12,12,41,104
11,12,12,42,104.2
11,12,12,42,104.4
11,12,12,42,104.6
11,11,11,41,104.8
10,12,10,39,105
10,12,10,39,105.2
10,13,10,40,105.4
11,12,11,41,105.6
11,12,11,42,105.8
11,12,10,43,106
11,12,11,44,106.2
11,12,10,43,106.4
11,12,11,44,106.6
11,13,11,44,106.8
11,12,11,44,107
11,13,11,44,107.2
11,13,11,45,107.4
11,13,11,45,107.6
11,13,11,44,107.8
7,8,7,28,108
7,8,7,31,108.2
8,9,7,34,108.4
8,9,8,35,108.6
8,9,8,35,108.8
9,9,8,35,109
9,9,9,35,109.2
9,10,9,35,109.4
9,10,9,35,109.6
9,11,8,36,109.8
9,11,9,36,110
10,11,10,38,110.2
8,10,7,33,110.4
9,11,9,36,110.6
5,7,6,25,110.8
5,7,5,20,111
7,9,7,30,111.2
8,10,8,33,111.4
9,11,9,37,111.6
9,10,9,35,111.8
7,9,8,30,112
7,10,7,30,112.2
8,10,8,30,112.4
9,10,8,32,112.6
8,11,8,34,112.8
8,10,8,33,113
8,10,8,32,113.2
7,9,7,30,113.4
6,9,6,25,113.6
7,10,8,32,113.8
9,10,9,33,114
9,11,9,34,114.2
9,11,9,36,114.4
9,11,9,35,114.6
7,10,7,29,114.8
8,10,7,29,115
7,10,7,26,115.2
7,11,7,30,115.4
8,10,8,31,115.6
9,11,8,33,115.8
9,11,8,33,116
9,12,9,35,116.2
10,12,9,36,116.4
9,12,9,36,116.6
10,12,10,37,116.8
10,12,10,39,117
10,13,10,39,117.2
10,13,10,40,117.4
10,13,10,39,117.6
10,13,10,40,117.8
10,12,10,38,118
11,13,11,43,118.2
10,13,10,40,118.4
12,14,12,44,118.6
12,14,12,45,118.8
12,15,12,46,119
12,15,12,45,119.2
12,14,12,45,119.4
12,15,12,46,119.6
12,15,12,46,119.8
12,15,12,47,120
