I0,I1,I2,I3,time(sec)
14,14,36,11,54.8
13,14,34,11,55
14,14,36,10,55.2
15,14,37,11,55.4
12,12,33,9,55.6
10,10,29,8,55.8
11,11,32,9,56
11,11,32,9,56.2
10,10,31,8,56.4
10,10,30,8,56.6
8,8,27,7,56.8
8,8,26,7,57
7,7,26,7,57.2
7,7,25,7,57.4
5,4,17,4,57.6
4,5,18,4,57.8
3,4,13,3,58
6,5,20,5,58.2
5,6,18,4,58.4
7,8,23,6,58.6
9,10,30,8,58.8
10,11,33,9,59
10,12,35,9,59.2
10,13,34,9,59.4
10,12,34,9,59.6
10,11,31,8,59.8
8,9,25,6,60
6,8,20,5,60.2
6,7,19,5,60.4
7,6,18,4,60.6
7,7,19,5,60.8
8,7,20,5,61
5,7,18,5,61.2
5,7,18,5,61.4
7,8,23,6,61.6
7,9,27,7,61.8
6,7,23,6,62
7,7,23,6,62.2
7,8,25,7,62.4
5,7,20,5,62.6
4,5,15,3,62.8
4,6,16,4,63
8,9,23,6,63.2
8,8,23,7,63.4
7,7,21,5,63.6
6,7,21,6,63.8
5,6,19,4,64
2,4,9,2,64.2
2,3,8,1,64.4
3,4,9,2,64.6
4,5,13,3,64.8
6,7,19,5,65
6,8,20,5,65.2
8,9,24,7,65.4
8,9,25,6,65.6
7,8,24,6,65.8
8,8,23,6,66
8,8,23,6,66.2
5,6,16,4,66.4
6,7,18,5,66.6
8,10,24,7,66.8
9,10,28,7,67
11,12,33,10,67.2
14,14,42,12,67.4
15,16,46,13,67.6
16,18,49,15,67.8
17,18,52,15,68
17,18,53,15,68.2
16,17,47,14,68.4
16,16,46,13,68.6
13,15,40,11,68.8
12,13,35,10,69
12,12,34,9,69.2
11,12,33,9,69.4
9,11,31,8,69.6
9,9,26,7,69.8
8,8,21,5,70
8,9,24,6,70.2
7,7,17,4,70.4
4,5,12,3,70.6
4,5,12,3,70.8
3,4,9,2,71
4,5,14,3,71.2
6,7,19,5,71.4
4,6,14,3,71.6
2,3,6,1,71.8
2,3,6,1,72
3,3,7,1,72.2
5,6,15,3,72.4
4,7,18,5,72.6
2,4,10,2,72.8
2,2,7,1,73
1,2,6,0,73.2
1,1,4,0,73.4
0,1,3,0,73.6
0,2,4,0,73.8
1,2,4,0,74
2,3,6,1,74.2
4,6,12,3,74.4
5,7,16,4,74.6
5,7,17,4,74.8
6,8,19,5,75
7,9,21,6,75.2
9,11,30,9,75.4
12,14,38,11,75.6
12,15,40,11,75.8
12,14,37,11,76
9,12,29,8,76.2
10,12,30,8,76.4
10,12,31,9,76.6
9,11,29,8,76.8
9,11,29,8,77
8,9,26,7,77.2
7,8,24,6,77.4
6,8,21,6,77.6
6,7,19,5,77.8
4,4,14,3,78
3,3,8,1,78.2
3,3,8,2,78.4
4,7,15,4,78.6
5,6,20,4,78.8
6,8,24,6,79
4,6,18,4,79.2
5,6,20,5,79.4
3,4,15,3,79.6
1,2,7,1,79.8
1,2,8,1,80
2,2,7,1,80.2
1,2,6,1,80.4
1,3,6,1,80.6
3,4,11,2,80.8
4,6,13,3,81
5,7,16,4,81.2
6,8,18,5,81.4
6,8,19,5,81.6
6,8,18,5,81.8
5,8,17,5,82
5,7,16,4,82.2
4,6,14,3,82.4
4,6,13,4,82.6
2,2,7,1,82.8
2,2,7,1,83
2,3,6,1,83.2
2,3,7,1,83.4
4,6,14,3,83.6
6,7,16,4,83.8
7,8,19,5,84
6,7,19,5,84.2
5,6,14,3,84.4
3,4,8,2,84.6
2,3,7,1,84.8
2,3,7,1,85
2,3,7,1,85.2
2,3,7,1,85.4
2,3,7,1,85.6
2,2,7,1,85.8
2,4,7,1,86
4,6,12,3,86.2
5,7,15,4,86.4
5,7,17,4,86.6
6,7,18,5,86.8
6,8,17,5,87
6,8,16,5,87.2
4,5,11,2,87.4
3,3,8,2,87.6
2,3,7,1,87.8
2,2,7,1,88
2,3,7,1,88.2
3,3,8,1,88.4
3,4,8,1,88.6
3,5,8,2,88.8
5,7,15,4,89
5,7,16,4,89.2
6,7,16,4,89.4
