I0,I1,I2,I3,time(sec)
50,51,50,101,54.8
50,51,50,101,55
50,51,50,101,55.2
50,50,50,102,55.4
50,51,50,102,55.6
50,51,50,102,55.8
51,50,51,102,56
50,51,50,101,56.2
48,49,48,98,56.4
49,49,49,98,56.6
32,32,31,65,56.8
32,32,31,63,57
32,34,32,67,57.2
32,34,32,67,57.4
31,32,32,65,57.6
30,31,31,63,57.8
32,32,32,64,58
32,32,32,64,58.2
32,33,32,66,58.4
32,33,32,66,58.6
29,30,28,59,58.8
25,27,25,54,59
29,28,28,58,59.2
30,31,30,62,59.4
32,34,32,66,59.6
34,35,35,70,59.8
37,37,37,76,60
39,39,39,79,60.2
40,40,40,80,60.4
41,41,41,82,60.6
41,42,41,83,60.8
42,42,42,84,61
42,42,42,85,61.2
42,42,42,85,61.4
42,42,41,85,61.6
42,43,42,87,61.8
44,44,44,88,62
42,43,42,87,62.2
43,43,43,87,62.4
43,44,43,88,62.6
44,44,44,89,62.8
44,45,44,89,63
43,44,43,88,63.2
43,44,43,88,63.4
44,45,43,89,63.6
45,46,44,91,63.8
45,45,44,90,64
45,46,45,92,64.2
45,46,45,92,64.4
45,46,44,91,64.6
45,47,45,92,64.8
46,47,45,93,65
46,46,45,93,65.2
45,46,44,92,65.4
44,45,44,90,65.6
43,43,44,88,65.8
44,44,44,88,66
44,45,44,90,66.2
44,45,44,90,66.4
44,46,44,92,66.6
45,46,45,92,66.8
46,46,45,93,67
46,46,46,93,67.2
46,46,46,94,67.4
46,47,47,94,67.6
47,47,46,94,67.8
47,46,47,93,68
45,46,45,92,68.2
46,46,45,92,68.4
45,46,45,91,68.6
45,45,45,90,68.8
45,46,45,92,69
45,46,45,91,69.2
45,46,45,91,69.4
45,46,45,93,69.6
46,46,45,93,69.8
46,46,45,93,70
46,46,46,93,70.2
46,47,45,94,70.4
46,46,46,93,70.6
46,47,46,94,70.8
47,46,47,93,71
47,46,45,93,71.2
46,47,46,94,71.4
46,46,45,92,71.6
45,47,46,93,71.8
47,47,47,95,72
46,46,45,92,72.2
45,45,45,91,72.4
45,45,46,91,72.6
45,45,45,91,72.8
46,46,46,93,73
46,46,46,93,73.2
46,46,46,94,73.4
46,47,46,95,73.6
46,46,46,93,73.8
47,47,47,94,74
47,48,47,96,74.2
48,48,48,96,74.4
47,47,47,96,74.6
47,48,47,95,74.8
47,48,47,96,75
48,48,47,97,75.2
48,47,47,96,75.4
48,48,48,97,75.6
47,48,47,96,75.8
47,48,48,97,76
48,48,47,97,76.2
47,49,47,97,76.4
48,48,48,97,76.6
48,48,47,97,76.8
48,48,48,97,77
49,48,49,98,77.2
49,49,48,99,77.4
48,49,48,98,77.6
48,49,48,98,77.8
48,49,48,98,78
48,49,48,98,78.2
49,48,48,98,78.4
49,49,48,98,78.6
48,49,48,99,78.8
48,49,48,99,79
49,49,49,99,79.2
49,49,49,99,79.4
49,49,49,99,79.6
49,49,49,99,79.8
49,50,49,100,80
49,50,49,99,80.2
49,49,49,100,80.4
49,50,49,100,80.6
50,49,49,99,80.8
49,49,49,100,81
49,49,50,99,81.2
49,50,49,100,81.4
49,50,49,100,81.6
49,49,49,100,81.8
50,50,49,100,82
49,50,50,101,82.2
50,50,49,100,82.4
50,50,49,100,82.6
49,50,49,101,82.8
49,50,49,101,83
49,49,49,100,83.2
49,50,49,100,83.4
49,50,49,100,83.6
49,49,49,100,83.8
49,49,49,100,84
49,50,49,100,84.2
50,50,49,101,84.4
49,50,49,100,84.6
48,49,48,99,84.8
49,50,49,99,85
49,49,49,100,85.2
49,49,48,99,85.4
48,49,48,99,85.6
49,49,49,99,85.8
48,49,49,99,86
48,50,48,99,86.2
48,49,48,100,86.4
49,49,48,100,86.6
49,49,49,100,86.8
49,50,49,100,87
49,50,49,100,87.2
49,49,49,99,87.4
49,49,48,99,87.6
49,50,49,100,87.8
50,50,50,100,88
49,50,49,99,88.2
50,50,49,100,88.4
49,50,49,100,88.6
47,48,47,97,88.8
48,49,48,99,89
49,50,49,100,89.2
50,50,49,101,89.4
50,51,49,101,89.6
50,51,49,101,89.8
51,50,50,101,90
50,50,50,101,90.2
