I0,I1,I2,I3,time(sec)
22,23,22,67,54.8
22,22,22,66,55
23,23,23,67,55.2
23,24,22,69,55.4
23,24,23,69,55.6
23,24,23,70,55.8
23,23,23,69,56
23,24,23,69,56.2
23,24,23,70,56.4
24,24,23,70,56.6
24,24,24,70,56.8
24,24,24,70,57
24,23,24,70,57.2
23,24,23,69,57.4
23,23,23,68,57.6
23,23,23,68,57.8
22,23,22,67,58
23,23,23,67,58.2
22,23,22,68,58.4
23,23,23,68,58.6
23,24,23,70,58.8
24,24,24,70,59
24,24,23,70,59.2
24,24,23,69,59.4
23,24,23,70,59.6
24,24,23,70,59.8
24,24,23,71,60
24,24,24,70,60.2
23,25,23,70,60.4
24,23,24,69,60.6
23,24,23,69,60.8
23,23,23,68,61
23,22,23,67,61.2
22,23,22,67,61.4
24,23,23,69,61.6
24,24,23,70,61.8
24,23,24,70,62
23,23,23,69,62.2
23,23,23,69,62.4
24,24,23,70,62.6
23,24,23,70,62.8
24,24,24,71,63
24,24,23,70,63.2
23,23,23,68,63.4
23,23,22,68,63.6
23,23,22,66,63.8
22,24,22,67,64
23,23,22,68,64.2
24,23,23,69,64.4
23,24,23,69,64.6
24,24,23,69,64.8
23,24,23,69,65
24,24,24,70,65.2
23,24,23,70,65.4
24,24,24,70,65.6
23,24,23,69,65.8
23,24,23,69,66
24,24,23,69,66.2
23,23,23,68,66.4
23,23,23,68,66.6
23,23,22,67,66.8
23,23,24,69,67
24,24,24,70,67.2
23,24,23,70,67.4
24,24,23,69,67.6
24,24,24,71,67.8
25,24,24,70,68
24,24,24,70,68.2
23,24,23,69,68.4
23,23,23,69,68.6
23,23,23,68,68.8
22,23,22,67,69
23,22,23,66,69.2
22,23,22,66,69.4
23,23,23,67,69.6
23,23,23,69,69.8
23,24,23,69,70
24,24,23,70,70.2
24,24,24,70,70.4
24,24,24,71,70.6
25,24,24,71,70.8
24,24,24,71,71
24,24,23,71,71.2
23,24,23,70,71.4
24,23,23,69,71.6
23,24,23,70,71.8
23,24,23,69,72
24,24,23,71,72.2
24,25,24,72,72.4
24,24,24,72,72.6
24,25,23,71,72.8
25,24,25,72,73
25,25,24,72,73.2
25,25,24,73,73.4
24,25,24,73,73.6
24,25,24,72,73.8
24,25,24,72,74
24,24,23,71,74.2
25,24,24,71,74.4
24,25,23,71,74.6
24,23,24,70,74.8
24,24,23,71,75
24,24,24,71,75.2
24,25,24,73,75.4
24,25,24,73,75.6
25,24,24,71,75.8
24,25,24,72,76
25,24,25,72,76.2
